Name,Publisher,Solitare,Played,Complexity,Notes
NATO Air Commander,Hollandspiele,Yes,Yes,2.57,https://www.goonhammer.com/goonhammer-hextoricals-nato-air-commander/
That Others May Live,Hollandspiele,Yes,No,2.67,Vietnam S&R
The Long Road,Flying Pig,No,No,3.33,WW3 Weird War
Armageddon War,Flying Pig,No,No,3.09,Platoon-level WW3 Mid East
Fire in the Lake,GMT,Optional,No,4.17,Vietnam COIN
MBT,GMT,No,No,3.8,Cold War tank-to-tank
Sweden Fights On,GMT,No,No,3.59,Later 30YW
Starfire,SDS,No,No,,Various bits scattered around need to take stock and consolidate
The Epic Battle of Alesia,Worthington,No,No,2.5,Rome v. Gaul
British Tank Ace,Compass,Yes,No,2.5,Solo Tank Command - WW2
With Fire and Sword,Compass,No,No,,Paper Wars 30YW
Atlantic Sentinels,Compass,Yes,No,2,WW2 Convoy Escort
Combat! Vol. 3 Arnhem,Compass,Yes,No,3.5,Individual Level
The Rock of Chickamauga,Flying Pig,No,No,3.2,Supposed to be one of the best Civil War systems
Here I Stand,GMT,No,No,4.2,Wars of the Reformation
Eastern Fleet,Avalanche Press,No,No,2.73,Indo-Pacific WW2 Fleet
Under the Lily Banners,GMT,No,No,3.64,Tactical 30YW same series as Sweden Fights On
Holland '44,GMT,No,No,3.83,Market Garden
Dog Boats,Compass,Maybe?,No,1.5,Campaign game small boat WW2
NATO,Compass,No,Yes,4,Played a long time ago. European WW3
Hornet Leader,DVG,Yes,No,2.84,"""Modern"" carrier operations"
Pursuit of Glory,GMT,No,No,3.94,WW1 Near East
World in Flames,ADG,No,No,4.23,WW2. All of it.
Wreck of the BSM Pandora,SPI,Maybe?,No,2.32,Aliens are loose in the space ship!
Tactics II,Avalon Hill,No,Yes,2.01,Baby's First Wargame
La Bataille de Lutzen,Clash of Arms,No,No,3.9,Lutzen 1813
1914,Avalon Hill,No,No,3.57,Theater Scale WW1
Bloodtree Rebellion,GDW,No,No,3.17,Sci-fi Vietnam
Afrika Korps,Avalon Hill,No,No,2.24,What it says on the tin
Midway,Avalon Hill,No,No,2.44,Hidden movement air-battle
Guadalcanal,Avalon Hill,No,No,2.45,What it says on the tin
D-Day,Avalon Hill,No,Yes,2.15,D-Day. Classic game of Eric's childhood
War of the Ring,SPI,No,Yes,3.47,Theater-level Lord of the Rings
Freedom in the Galaxy,Avalon Hill,No,No,3.97,Legally distinct from Star Wars
2nd Fleet,Victory Games,No,No,3.43,80s and 90's North Atlantic fleet combat
PanzerBlitz,Avalon Hill,No,Yes,3.05,Eastenr Front
Meltwater,Hollandspiele,No,No,2.32,Post-apoc Antarctica
Charlemagne - Master of Europe,Hollandspiele,Yes,No,3.1,What it says on the tin
District Commander Maracas,Hollandspiele,No,No,3.8,Urban COIN
Empire at Sunrise,Hollandspiele,No,No,2.5,Pacific Theater WW1
